Script started on Monday 06 November 2017 12:02:32 PM IST
If Hamilton had prevailed
]0;agrim@Gengar-Comp: ~/Desktop/Digit-Speech-Recognitionagrim@Gengar-Comp:~/Desktop/Digit-Speech-Recognition$ exittime python3 mfcc_check.py 
Predicted: 0 for expected digit: 0
Predicted: 9 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 9 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 9 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 9 for expected digit: 7
Predicted: 8 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 9 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 9 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 8 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 9 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 9 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 8 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 9 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 8 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 6 for expected digit: 1
Predicted: 6 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 6 for expected digit: 4
Predicted: 4 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 6 for expected digit: 1
Predicted: 6 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 6 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 6 for expected digit: 1
Predicted: 6 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 6 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 6 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 6 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 4 for expected digit: 1
Predicted: 4 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 4 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 6 for expected digit: 0
Predicted: 4 for expected digit: 1
Predicted: 4 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 6 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 6 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 6 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 1 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 3 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 1 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 5 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 0 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 5 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 5 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 3 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 0 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 5 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 3 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 9 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 6 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 9 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 0 for expected digit: 3
Predicted: 4 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 6 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 9 for expected digit: 3
Predicted: 2 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 3 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
Predicted: 1 for expected digit: 1
Predicted: 2 for expected digit: 2
Predicted: 9 for expected digit: 3
Predicted: 2 for expected digit: 4
Predicted: 5 for expected digit: 5
Predicted: 6 for expected digit: 6
Predicted: 7 for expected digit: 7
Predicted: 3 for expected digit: 8
Predicted: 9 for expected digit: 9
Predicted: 0 for expected digit: 0
